RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
172.142554,48.862511,11283421+4851450,15.603,0.069,15.469,0.125,15.333,0.167,ABC,222,111,000,0,0
172.205294,48.908775,11284927+4854315,16.716,0.105,16.121,0.178,15.998,0.256,BCD,222,111,000,0,0
172.211364,48.904259,11285072+4854153,16.966,0.141,16.12,,16.338,,BUU,200,100,000,0,0
172.276642,48.73922,11290639+4844211,15.916,0.096,15.333,0.11,14.821,0.102,ABA,222,111,ccc,0,0
172.343988,48.791882,11292255+4847307,16.931,0.168,16.5,0.263,15.78,0.208,CDC,222,111,000,0,0
172.269346,48.758286,11290464+4845298,13.447,0.029,13.017,0.032,12.926,0.025,AAA,222,111,000,0,0
172.291959,48.770977,11291007+4846155,16.655,0.115,17.783,,15.804,0.214,BUC,202,101,000,0,0
172.270362,48.766472,11290488+4845592,17.066,0.163,15.974,0.168,15.725,0.191,CCC,222,111,000,0,0
172.306442,48.801933,11291354+4848069,16.156,0.097,15.306,0.107,15.071,0.112,AAB,222,111,000,0,0
172.339778,48.799885,11292154+4847595,16.7,0.148,15.663,,15.728,0.194,BUC,202,101,000,0,0
172.392898,48.7995,11293429+4847582,16.546,0.134,16.168,0.202,15.437,0.158,BCC,222,111,000,0,0
172.375915,48.793701,11293021+4847373,16.578,0.152,16.272,0.222,15.128,0.128,BDB,222,111,000,0,0
172.383586,48.80328,11293206+4848118,15.802,0.071,15.034,0.073,14.943,0.106,AAA,222,111,000,0,0
172.362163,48.822742,11292691+4849218,13.623,0.046,13.102,0.055,12.958,0.043,AEA,222,111,000,0,0
172.386456,48.832191,11293274+4849558,16.353,0.12,15.783,0.161,15.678,0.199,BCC,222,111,000,0,0
172.438575,48.847668,11294525+4850516,12.508,0.022,12.126,0.019,12.058,0.023,AAA,222,111,000,0,0
172.310987,48.820854,11291463+4849150,13.086,0.025,12.347,0.03,12.194,0.022,AAA,222,111,000,0,0
172.34373,48.837097,11292249+4850135,16.03,0.069,15.201,0.076,15.513,0.163,AAC,222,111,000,0,0
172.332466,48.837227,11291979+4850140,16.399,0.095,15.465,0.11,15.263,0.131,ABB,222,111,000,0,0
172.293842,48.839355,11291052+4850216,16.576,0.127,15.795,0.163,15.455,0.155,BCB,222,111,000,0,0
172.299956,48.850201,11291198+4851007,16.967,0.169,16.105,0.196,15.638,0.179,CCC,222,111,000,0,0
172.328267,48.859211,11291878+4851331,16.673,0.113,15.959,0.15,15.492,0.154,BCC,222,111,000,0,0
172.360104,48.846046,11292642+4850457,16.275,0.111,15.648,0.151,15.107,0.143,BBB,222,111,000,0,0
172.370198,48.863846,11292884+4851498,14.419,0.031,13.756,0.03,13.524,0.037,AAA,222,111,000,0,0
172.385532,48.856152,11293252+4851221,16.752,0.175,15.483,,15.315,0.15,CUB,202,101,000,0,0
172.398695,48.869026,11293568+4852084,8.503,0.019,7.818,0.023,7.666,0.016,AAA,111,111,000,0,0
172.400901,48.86908,11293621+4852086,14.383,0.039,9.909,,9.693,,AUU,200,200,c00,0,0
172.358422,48.880539,11292602+4852499,13.05,0.027,12.499,0.031,12.444,0.02,AAA,222,111,000,0,0
172.388685,48.881397,11293328+4852530,15.438,0.052,14.744,0.057,14.626,0.082,AAA,222,111,000,0,0
172.476092,48.864944,11295426+4851537,13.238,0.023,12.968,0.027,12.899,0.029,AAA,222,111,000,0,0
172.546142,48.887592,11301107+4853153,15.356,0.061,14.651,0.071,14.199,0.069,AAA,222,111,000,0,0
172.570631,48.913021,11301695+4854468,15.198,0.048,14.575,0.051,14.435,0.07,AAA,222,111,000,0,0
172.624342,48.935753,11302984+4856087,7.433,0.023,7.532,0.02,7.514,0.02,AAA,111,111,000,0,0
172.620491,48.952961,11302891+4857106,14.431,0.033,14.103,0.046,13.955,0.048,AAA,222,111,000,0,0
172.628558,48.95303,11303085+4857109,16.593,0.157,15.915,0.169,15.749,0.223,CCD,222,111,000,0,0
172.569349,48.941635,11301664+4856298,12.384,0.022,12.151,0.019,12.086,0.023,AAA,222,111,000,0,0
172.601783,48.968868,11302442+4858079,16.353,0.117,15.681,0.13,15.071,0.119,BBB,222,111,000,0,0
172.531642,48.955311,11300759+4857191,15.416,0.054,14.979,0.076,14.941,0.105,AAA,222,111,000,0,0
172.317451,48.86491,11291618+4851536,16.334,0.092,15.711,0.128,15.752,0.202,ABC,222,111,000,0,0
172.324408,48.890278,11291785+4853250,10.015,0.03,9.704,0.034,9.601,0.018,AAA,222,111,000,0,0
172.251322,48.856827,11290031+4851245,15.157,0.039,14.644,0.044,14.492,0.076,AAA,222,111,000,0,0
172.260316,48.874901,11290247+4852296,16.29,0.111,15.209,0.1,14.694,0.105,BAA,222,111,000,0,0
172.252287,48.875217,11290054+4852307,14.654,0.03,14.085,0.037,13.901,0.035,AAA,222,111,000,0,0
172.300421,48.886185,11291210+4853102,14.919,0.031,14.415,0.05,14.238,0.06,AAA,222,111,000,0,0
172.403254,48.920086,11293678+4855123,16.074,0.089,16.169,0.198,15.092,0.118,ACB,222,111,000,0,0
172.307541,48.916828,11291380+4855005,16.687,0.109,15.901,0.156,15.863,,BCU,220,110,000,0,0
172.302805,48.933315,11291267+4855599,14.802,0.033,14.218,0.052,14.082,0.047,AAA,222,111,000,0,0
172.289627,48.918316,11290951+4855059,16.274,0.087,15.913,0.169,15.935,0.234,ACD,222,111,0c0,0,0
172.323318,48.922318,11291759+4855203,16.614,0.098,16.346,0.228,15.626,,ADU,220,110,000,0,0
172.270314,48.936939,11290487+4856129,17.103,0.159,16.109,0.193,15.928,0.229,CCD,222,111,000,0,0
172.291953,48.947548,11291006+4856511,16.908,0.141,15.581,,15.647,0.181,BUC,202,101,000,0,0
172.301912,48.957783,11291245+4857280,15.439,0.059,14.859,0.065,14.621,0.086,AAA,222,111,000,0,0
172.356322,48.938698,11292551+4856193,17.069,0.145,16.358,0.209,15.561,,CDU,220,110,000,0,0
172.375632,48.971855,11293015+4858186,16.44,0.126,15.735,0.146,15.422,,BBU,220,110,000,0,0
172.335922,48.974064,11292062+4858266,14.263,0.031,13.817,0.034,13.76,0.038,AAA,222,111,000,0,0
172.335042,48.961891,11292041+4857428,16.064,0.063,15.501,0.103,15.346,0.139,AAB,222,111,000,0,0
